SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Scale,DPaW region,Schedule,Scientific name,Common name,Geographic distribution,ESU number,ESU number reliability,ESU trend,ESU trend reliability,ESU notes,Population number,Population number translocated,Population IUCN category,Population number reliability,Population trend,Population trend reliability,Population notes,Mature individuals number,Mature individuals IUCN category,Mature individuals number reliability,Mature individuals trend,Mature individuals number trend reliability,Mature individuals notes,EOO area ha,EOO area IUCN category,EOO method,EOO trend,EOO notes,AOO area ha,AOO area IUCN category,AOO method,AOO trend,AOO notes,Habitat specificity fire,Habitat specificity restriction,Habitat specificity restriction reliability,Habitat specificity restriction trend,Habitat specificity notes,Last survey  detected year,Last survey not detected year,Last survey  anecdotal year,Additional notes 1 ,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Is full assessment condition,Last full assessment date,Last updated on
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",Refer to State level,,,,,11,0,Refer to State level,Quantitative analysis of data not publically available,Static (no change),Expert opinion,JM: count as for TPFL. Swan region: trend. ,493,Refer to State level,Quantitative analysis of data not publically available,Static (no change),Quantitative analysis of data not publically available,JM: count as for TPFL. Swan region: trend. ,Refer to State level,Refer to State level,-,Static (no change),Swan region: trend.  S&C: 1659ha,Unknown,Unknown,-,Unknown,S&C: 688ha; Swan region advised unknown,,Moderate,Quantitative unpublished data and expert opinion,Static,Swan region,2012,,,"Swan region: past pressures, future threats",Vulnerable,Vulnerable,,,Urban development ,rural lots,Urban development ,rural lots,None,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection and storage,,,Swan region: management actions,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,"JM: Swan region noted research on potential genetic structuring (between southern and northern populations) but this has been done by Coates 1988 Genetic diversity and population genetic structure in rare Chittering grass wattle, Acacia anomala Court",,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Acacia anomala,Grass Wattle,"JAF01, SWA01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,Strategic Assessment Perth & Peel ,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,"1, but > 1 likely",Expert opinion,Unknown,-,Central Wheatbelt & Perth Hills Dists: no genetics available but appears to be disjunct populations,21,Unknown,> 20 (does not meet IUCN location/subpopulation criteria),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,"Central Wheatbelt & Perth Hills Dists: count; trend pops 18, 20, 21, 22 are new in last 10 years BUT these are roadside and possibly reveg; also planted in gardens; number of translocations unknown. Possibly losing natural pops, gaining artificial, spread of gravel under power lines, disturbance opportunist","11,765","< 100,000 (does not meet IUCN mature individual criteria)",Quantitative unpublished data and expert opinion,Large fluctuations,Expert opinion,Central Wheatbelt & Perth Hills Dists: count from TPFL; Central Wheatbelt pops have not been visited recently; new pops in Perth Hills Dist have less than 70 plants; Loss of pop 20 in Parkerville fire 2013 (210 individuals) but pop will likely recover. ,"11,315","< 100,000ha (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Static (no change),Central Wheatbelt & Perth Hills Dists:  new pops are within polygon,<100,< 100ha (potentially meets area of occupancy criteria for CR),Estimate based on expert opinion ,Increased (new knowledge - biological survey),"Central Wheatbelt & Perth Hills Dists: TPFL includes unnatural pops. 9 ha Perth Hills + 2 ha pop 6, other pops not visited",,Broad,Expert opinion,Unknown,"Central Wheatbelt & Perth Hills Dists: Natural pops: Sand, loam, clay loam. Granite outcrops, hills. Introduced = laterite",2013,,2013,Central Wheatbelt & Perth Hills Dists: TPFL includes unnatural pops and this may be artificially increasing the number of pops and contributing to increasing trends while masking possible  decline in natural populations. ,Vulnerable,Vulnerable,,C2a,Cropping/Horticulture (specify),"historical clearing, fragmentation",Cropping/Horticulture (specify),"historical clearing, fragmentation",None,,,,PD i) Current population size,distinguish natural and planted populations,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD i) Fire management for biodiversity (specify),"fire break maintenace, use of fire in senescing populations",MI x) Regulation - Native vegetation clearing/pollution,,,,Central Wheatbelt & Perth Hills Dists: management requirements,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Wheatbelt & Perth Hills Dists: past pressures and future threats,,,,,Roads & rail,road widening and maintenance,Roads & rail,road widening and maintenance,,,,,SC ii) Phylogeography & genetic variation/structuring,determine genetic structuring and provenance of existing populations (to determine if they are natural or planted),EV vi) Input of existing data into DPaW’s corporate databases (specify source of data),resolve TPFL numbering of populations to exclude unnatural/planted populations,,,MD iv) Herbivore/omnivore control or eradication ,herbivore exclusion following fire,MI xi) Regulation - environmental impact assessment,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverse management fire (specify),fire break maintenance,Adverse management fire (specify),fire break maintenance,,,,,Au v) Reproductive biology & breeding system,determine length of juvenile period and senescence,,,,,MD ii) Weed control or eradication,weed control,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demographic stochasticity,"senecence, lack of disturbance",Demographic stochasticity,"senecence, lack of disturbance",,,,,QTP iii) Quantifying threatening processes – species,determine Pc susceptibility,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with utilities, LGAs, Main Roads, private landholders, Dept of Defense",,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Acacia aphylla,Leafless Rock Wattle,AVW02 JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),,Weeds (specify dominant spp),,,,,,,,,,,,,,MI v) Ex-situ conservation (specify),seed collection and storage,,,,,,,
